Date,Open,High,Low,Close,Adj Close,Volume
2018-01-24,497.000000,520.349976,496.000000,509.225006,463.257111,9269776
2018-01-25,509.399994,510.000000,495.024994,504.774994,459.208862,5307454
2018-01-29,505.000000,510.500000,502.524994,506.024994,461.259796,4013296
2018-01-30,508.750000,508.750000,499.000000,500.200012,455.950195,2711352
2018-01-31,499.975006,508.950012,490.850006,493.274994,449.637726,3221144
2018-02-01,491.049988,507.475006,484.500000,492.450012,448.885742,3055658
2018-02-02,490.000000,503.850006,488.924988,495.450012,451.620392,3345056
2018-02-05,495.000000,500.899994,490.000000,496.575012,452.645782,2177578
2018-02-06,482.475006,484.375000,474.024994,476.924988,434.734222,3310994
2018-02-07,479.100006,479.500000,461.000000,469.274994,427.760956,4051696
2018-02-08,472.875000,481.500000,468.750000,472.174988,430.404419,2896536
2018-02-09,467.500000,485.299988,461.274994,482.000000,439.360168,3456506
2018-02-12,482.750000,486.375000,468.674988,469.575012,428.034363,2975588
2018-02-14,469.899994,479.899994,465.149994,468.899994,427.419067,2889532
2018-02-15,472.000000,474.825012,466.000000,469.850006,428.285034,2281842
2018-02-16,472.500000,485.475006,465.500000,468.549988,427.099976,5698140
2018-02-19,468.924988,469.850006,450.049988,457.100006,416.662994,2925546
2018-02-20,458.000000,462.600006,452.500000,453.725006,413.586548,2462802
2018-02-21,459.000000,473.899994,456.000000,471.450012,429.743469,5569512
2018-02-22,471.500000,481.500000,465.774994,470.500000,428.877563,8186574
2018-02-23,474.450012,483.950012,471.450012,477.799988,435.531769,5675166
2018-02-26,477.950012,482.549988,471.524994,473.024994,431.179138,2112112
2018-02-27,476.500000,479.299988,472.000000,474.950012,432.933899,2879428
2018-02-28,477.450012,479.174988,467.899994,470.149994,428.558502,5119548
2018-03-01,471.899994,476.225006,469.000000,471.399994,429.697876,2772230
2018-03-05,471.399994,472.325012,458.899994,466.049988,424.821198,3747704
2018-03-06,469.000000,476.500000,463.250000,466.399994,425.140198,2929756
2018-03-07,469.000000,476.399994,466.899994,474.774994,432.774414,5695220
2018-03-08,476.500000,482.000000,472.774994,475.325012,433.275726,4238350
2018-03-09,475.000000,477.924988,470.000000,471.500000,429.789093,1464728
2018-03-12,475.000000,488.000000,474.500000,483.825012,441.023804,4946236
2018-03-13,483.825012,484.500000,472.799988,478.500000,436.169800,2513508
2018-03-14,481.000000,484.075012,480.000000,482.524994,439.838745,2354082
2018-03-15,484.000000,486.299988,477.625000,479.575012,437.149719,2590154
2018-03-16,480.000000,489.774994,473.524994,483.799988,441.000946,9482072
2018-03-19,481.350006,481.799988,460.500000,463.250000,422.268951,3318748
2018-03-20,462.500000,473.875000,457.799988,468.600006,427.145691,3707786
2018-03-21,472.500000,474.950012,463.225006,468.674988,427.214020,3818980
2018-03-22,470.500000,474.450012,462.500000,465.274994,424.114716,3095286
2018-03-23,452.500000,480.274994,451.774994,478.700012,436.352142,5478072
2018-03-26,478.600006,485.500000,472.500000,483.524994,440.750275,3571336
