"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"12.5,9951,8.85,71.3,High"
"12.13,8773,08.09,71.56,Normal"
"12.49,11234,8.43,69.39,High"
"12,9420,7.96,69.26,Normal"
"12.81,10568,8.68,65.87,Normal"
"12.42,10082,8.19,68.1,Normal"
"11.9,10809,9.18,70.46,High"
"12.84,11322,9.23,68.31,High"
"11.76,10449,7.61,69.53,Normal"
"14.96,14070,11.53,73.24,Very-High"
"12.81,12143,8.34,68.83,High"
"12.31,11310,7.89,69.59,Normal"
"11.95,11720,7.46,69.32,Normal"
"12.73,12707,7.52,67.41,Normal"
"12.4,9868,7.55,66.27,Normal"
"11.95,11952,7.77,70.57,High"
"12.38,12736,7.76,66.12,Normal"
"12.21,12280,08.01,66.2,Normal"
"12.92,9644,7.75,64.1,Normal"
"12.89,11470,9.11,70.57,High"
"12.48,11844,7.97,70.45,High"
"12.47,11500,7.69,67.85,Normal"
"13.94,14432,10.2,71.29,High"
"14.82,13789,10.96,72.1,High"
"13.81,12116,9.84,74.61,High"
"13.25,10673,8.79,72.88,High"
"13.02,10062,8.7,73.1,High"
"13.6,11048,9.23,72.64,High"
"12.9,10868,9.43,73.46,High"
"13.33,12435,9.53,72.32,High"
"12.57,11651,8.36,71.68,High"
"12.61,7802,8.18,72.33,Normal"
"14.22,14862,10.91,74.76,Very-High"
"15.09,14582,10.49,74.54,Very-High"
"13.17,16765,10.8,74.55,Very-High"
"12.94,9075,9.11,72.65,High"
"13.31,9928,9.4,71.49,High"
"13.01,9423,9.19,72.74,High"
"12.22,7676,8.8,71.49,Normal"
"12.65,7064,8.17,71.4,Normal"
"14.03,11261,9.98,74.04,High"
"12.94,10882,9.62,71.76,High"
"11.53,10220,08.03,69.45,Normal"
"14.15,12481,9.73,71.16,High"
"12.47,11524,8.34,70.18,High"
"12.59,8558,9.72,70.24,Normal"
"12.83,11554,09.09,70.01,High"
"12.92,11481,10,71.4,High"
"12.17,9143,8.41,67.73,Normal"
"11.86,8145,09.03,70.87,Normal"
"12.43,10479,9.11,70.21,High"
"12.3,8939,8.15,64.49,Normal"
"11.86,9115,7.93,67.94,Normal"
"14.16,13991,11.42,71.9,High"
"12.62,12271,9.89,71.1,High"
"14.21,11851,10.74,72.06,High"
"12.88,10848,10.31,70.6,High"
"13.23,9378,8.89,68.83,Normal"
"13.07,7453,8.44,66.59,Normal"
"13.25,9603,8.53,70.88,High"
"13.35,11028,9.34,69.23,High"
"13.71,8850,9.5,71.19,High"
"12.51,8002,7.98,67.5,Normal"
"12.89,7947,8.76,66.18,Normal"
"13.1,7974,09.08,69.05,Normal"
"12.48,9675,7.74,64.35,Normal"
"12.29,7621,8.4,65.9,Normal"
"12.88,8171,8.82,70.09,Normal"
"12.96,7707,8.63,65.67,Normal"
"12.25,8890,8.72,69.71,Normal"
"16.28,14894,11.72,71.09,Very-High"
"13.52,11184,8.46,70.66,High"
"12.66,9060,08.08,68.52,Normal"
"13.41,10632,7.82,68.1,Normal"
"12.05,11829,6.77,70.6,Normal"
"12.1,9215,6.6,66.49,Normal"
"12.42,10543,7.49,67.3,Normal"
"13.65,9504,8.2,70.45,High"
"13.06,9505,7.78,67.38,Normal"
"13.16,11032,08.01,69.04,High"
"12.77,11519,7.92,66.78,Normal"
"13.59,11017,8.24,69.07,High"
"12.98,9030,7.23,67.21,Normal"
"13.05,9558,7.82,69.81,Normal"
"13.15,12505,07.05,67.48,Normal"
"12.95,12201,7.94,70.01,High"
"13.24,11956,7.87,69.77,High"
"13.71,10973,8.91,70.93,High"
"13.39,10116,8.35,70.44,High"
"13.86,7434,8.51,73.4,Normal"
