nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;371;BANTEN
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;115.1;BALI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;560.4;"NUSA TENGGARA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;119.3;"NUSA TENGGARA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;127.5;"KALIMANTAN BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;45.3;"KALIMANTAN TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;81.1;"KALIMANTAN SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;110.4;"KALIMANTAN TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;-;"KALIMANTAN UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;72.7;"SULAWESI UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;60.9;"SULAWESI TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;150.8;"SULAWESI SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;27.2;"SULAWESI TENGGARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;27.5;GORONTALO
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;48.3;"SULAWESI BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;44.7;MALUKU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;9;"MALUKU UTARA"
